id,codigo_cie10,nombre,categoria,activo
1,A63.0,VERRUGAS (VENEREAS) ANOGENITALES,A63,True
2,A63.8,"OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS",A63,True
3,A64,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA,A64,True
4,A65,SIFILIS NO VENEREA,A65,True
5,A66,FRAMBESIA,A66,True
6,A66.0,LESIONES INICIALES DE FRAMBESIA,A66,True
7,A66.1,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO,A66,True
8,A66.2,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA,A66,True
9,A66.3,HIPERQUERATOSIS DE FRAMBESIA,A66,True
10,A66.4,GOMA Y ULCERAS DE FRAMBESIA,A66,True
11,A66.5,GANGOSA,A66,True
12,A66.6,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES,A66,True
13,A66.7,OTRAS MANIFESTACIONES DE FRAMBESIA,A66,True
14,A66.8,FRAMBESIA LATENTE,A66,True
15,A66.9,"FRAMBESIA, NO ESPECIFICADA",A66,True
16,A67,PINTA [CARATE],A67,True
17,A67.0,LESIONES PRIMARIAS DE LA PINTA,A67,True
18,A67.1,LESIONES INTERMEDIAS DE LA PINTA,A67,True
19,A67.2,LESIONES TARDIAS DE LA PINTA,A67,True
20,A67.3,LESIONES MIXTAS DE LA PINTA,A67,True
21,A67.9,"PINTA, NO ESPECIFICADA",A67,True
22,A68,FIEBRES RECURRENTES,A68,True
23,A68.0,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS,A68,True
24,A68.1,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS,A68,True
25,A68.9,"FIEBRE RECURRENTE, NO ESPECIFICADA",A68,True
26,A69,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS,A69,True
27,A69.0,ESTOMATITIS ULCERATIVA NECROTIZANTE,A69,True
28,A69.1,OTRAS INFECCIONES DE VINCENT,A69,True
29,A69.2,ENFERMEDAD DE LYME,A69,True
30,A69.8,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS,A69,True
31,A69.9,"INFECCION POR ESPIROQUETA, NO ESPECIFICADA",A69,True
32,A70,INFECCION DEBIDA A CHLAMYDIA PSITTACI,A70,True
33,A71,TRACOMA,A71,True
34,A71.0,ESTADO INICIAL DE TRACOMA,A71,True
35,A71.1,ESTADO ACTIVO DE TRACOMA,A71,True
36,A71.9,"TRACOMA, NO ESPECIFICADO",A71,True
37,A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS,A74,True
38,A74.0,CONJUNTIVITIS POR CLAMIDIAS (H13.1*),A74,True
39,A74.8,OTRAS ENFERMEDADES POR CLAMIDIAS,A74,True
40,A74.9,"INFECCION POR CLAMIDIAS, NO ESPECIFICADA",A74,True
41,A75,TIFUS,A75,True
42,A75.0,TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS,A75,True
43,A75.1,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL],A75,True
44,A75.2,TIFUS DEBIDO A RICKETTSIA TYPHI,A75,True
45,A75.3,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI,A75,True
46,A75.9,"TIFUS, NO ESPECIFICADO",A75,True
47,A77,FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS],A77,True
48,A77.0,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII,A77,True
49,A77.1,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII,A77,True
50,A77.2,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA,A77,True
51,A77.3,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS,A77,True
52,A77.8,OTRAS FIEBRES MACULOSAS,A77,True
53,A77.9,"FIEBRE MACULOSA, NO ESPECIFICADA",A77,True
54,A78,FIEBRE Q,A78,True
55,A79,OTRAS RICKETTSIOSIS,A79,True
56,A79.0,FIEBRE DE LAS TRINCHERAS,A79,True
57,A79.1,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI,A79,True
58,A79.8,OTRAS RICKETTSIOSIS ESPECIFICADAS,A79,True
59,A79.9,"RICKETTSIOSIS, NO ESPECIFICADA",A79,True
60,A80,POLIOMIELITIS AGUDA,A80,True
61,A80.0,"POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA",A80,True
62,A80.1,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO,A80,True
63,A80.2,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO,A80,True
64,A80.3,"OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y LAS NO ESPECIFICADAS",A80,True
65,A80.4,POLIOMIELITIS AGUDA NO PARALITICA,A80,True
66,A80.9,"POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACION",A80,True
67,A81,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO,A81,True
68,A81.0,ENFERMEDAD DE CREUTZFELDT-JAKOB,A81,True
69,A81.1,PANENCEFALITIS ESCLEROSANTE SUBAGUDA,A81,True
70,A81.2,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA,A81,True
71,A81.8,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO,A81,True
72,A81.9,"INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION",A81,True
73,A82,RABIA,A82,True
74,A82.0,RABIA SELVATICA,A82,True
75,A82.1,RABIA URBANA,A82,True
76,A82.9,"RABIA, SIN OTRA ESPECIFICACION",A82,True
77,A83,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS,A83,True
78,A83.0,ENCEFALITIS JAPONESA,A83,True
79,A83.1,ENCEFALITIS EQUINA DEL OESTE,A83,True
80,A83.2,ENCEFALITIS EQUINA DEL ESTE,A83,True
81,A83.3,ENCEFALITIS DE SAN LUIS,A83,True
82,A83.4,ENCEFALITIS AUSTRALIANA,A83,True
83,A83.5,ENCEFALITIS DE CALIFORNIA,A83,True
84,A83.6,ENFERMEDAD POR VIRUS ROCIO,A83,True
85,A83.8,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS,A83,True
86,A83.9,"ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION",A83,True
87,A84,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS,A84,True
88,A84.0,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA],A84,True
89,A84.1,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS,A84,True
90,A84.8,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS,A84,True
91,A84.9,"ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION",A84,True
92,A85,"OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE",A85,True
93,A85.0,ENCEFALITIS ENTEROVIRAL (G05.1*),A85,True
94,A85.2,"ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACION",A85,True
95,A85.8,OTRAS ENCEFALITIS VIRALES ESPECIFICADAS,A85,True
96,A86,"ENCEFALITIS VIRAL, NO ESPECIFICADA",A86,True
97,A87,MENINGITIS VIRAL,A87,True
98,A87.0,MENINGITIS ENTEROVIRAL (G02.0*),A87,True
99,A87.1,MENINGITIS DEBIDA A ADENOVIRUS (G02.0*),A87,True
100,A87.8,OTRAS MENINGITIS VIRALES,A87,True
101,A87.9,"MENINGITIS VIRAL, SIN OTRA ESPECIFICACION",A87,True
102,A88,"OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE",A88,True
103,A88.0,FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON],A88,True
104,A88.1,VERTIGO EPIDEMICO,A88,True
105,A88.8,OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL,A88,True
106,A89,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA",A89,True
107,A90,FIEBRE DEL DENGUE [DENGUE CLASICO],A90,True
108,A91,FIEBRE DEL DENGUE HEMORRAGICO,A91,True
109,A92,OTRAS FIEBRES VIRALES TRANSMITIDAS POR MOSQUITOS,A92,True
110,A92.0,ENFERMEDAD POR VIRUS CHIKUNGUNYA,A92,True
111,A92.1,FIEBRE DE O-NYONG-NYONG,A92,True
112,A92.2,FIEBRE EQUINA VENEZOLANA,A92,True
113,A92.3,FIEBRE DEL OESTE DEL NILO,A92,True
114,A92.4,FIEBRE DEL VALLE DEL RIFT,A92,True
115,A92.8,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS,A92,True
116,A92.9,"FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION",A92,True
117,A93,"OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS, NO CLASIFICADAS EN OTRA PARTE",A93,True
118,A93.0,ENFERMEDAD POR VIRUS DE OROPOUCHE,A93,True
119,A93.1,FIEBRE TRANSMITIDA POR FLEBOTOMOS,A93,True
120,A93.2,FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS,A93,True
121,A93.8,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ARTROPODOS,A93,True
122,A94,"FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA",A94,True
123,A95,FIEBRE AMARILLA,A95,True
124,A95.0,FIEBRE AMARILLA SELVATICA,A95,True
125,A95.1,FIEBRE AMARILLA URBANA,A95,True
126,A95.9,"FIEBRE AMARILLA, NO ESPECIFICADA",A95,True
127,A96,FIEBRE HEMORRAGICA POR ARENAVIRUS,A96,True
128,A96.0,FIEBRE HEMORRAGICA DE JUNIN,A96,True
129,A96.1,FIEBRE HEMORRAGICA DE MACHUPO,A96,True
130,A96.2,FIEBRE DE LASSA,A96,True
131,A96.8,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS,A96,True
132,A96.9,"FIEBRE HEMORRAGICA POR ARENAVIRUS, SIN OTRA ESPECIFICACION",A96,True
